time,dt,ft_vf_x1,ft_dx_x1,ft_pos_x1,ft_err_x1,ft_dv_x1,ft_weight,ft_misses,ft_recov,ft_limit,ft_skip
0.0000000000000000e+00,1.3050056419637528e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.0337652719486959e-05,5.3257365350105008e-07,-3.7715500696758211e-04,-2.1023755217954189e-09,2.9137767209092336e+00,-8.6223279585596391e-02,1.8574266875390336e-05,2.6342428519258226e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4.0321267769687109e-05,7.0228244139183381e-07,-1.0605188770117845e-03,-1.6316669601309480e-08,2.9137767240250012e+00,-8.6223279581937540e-02,2.3681450160086496e-05,2.6342428474917409e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0795671082032084e-05,9.4790636135484990e-07,-1.7581884321703812e-03,-4.4852699829658586e-08,2.9137767301740367e+00,-8.6223279568657940e-02,3.2461993073160034e-05,2.6342428366288704e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8.0516937728406196e-05,1.1288941107122759e-06,-2.4321097308010018e-03,-8.5822730592249209e-08,2.9137767389464164e+00,-8.6223279541076447e-02,3.8567124214777229e-05,2.6342428200099857e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0020186145983837e-04,1.3063239881954440e-06,-3.1048971722809691e-03,-1.3989904921752872e-07,2.9137767504880063e+00,-8.6223279493528260e-02,4.5052657701768408e-05,2.6342427974003311e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2110544276601524e-04,1.3066060492145066e-06,-3.8258208414471361e-03,-2.1186653424689412e-07,2.9137767658143865e+00,-8.6223279414465281e-02,4.5062198265734806e-05,2.6342427666991119e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4070664907159979e-04,1.3068704975658618e-06,-4.5018251320582594e-03,-2.9304080948346322e-07,2.9137767830741277e+00,-8.6223279308323075e-02,4.5071107582791670e-05,2.6342427315776263e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5377632373322493e-04,1.3070644362867974e-06,-4.9525687844591436e-03,-3.5452918387436753e-07,2.9137767961356271e+00,-8.6223279217594317e-02,4.5077028342558778e-05,2.6342427047495613e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
